                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87235,                0.98099,                0.93736,                 0.8027,                0.85124,                0.86791,                 0.6598,                0.75956,                0.84372,                0.89405,             0.00065079,             0.00065079,             0.00065079
                      2,                0.92887,                 1.0093,                 0.9536,                0.91522,                0.92562,                0.93535,                0.70653,                0.83286,                0.74545,                0.90578,               0.001187,               0.001187,               0.001187
                      3,                0.95539,                0.98403,                0.97257,                  0.911,                0.93053,                0.92752,                0.71005,                0.88815,                0.79236,                0.92496,              0.0015913,              0.0015913,              0.0015913
                      4,                0.97775,                0.92263,                0.97538,                0.89462,                0.91213,                0.92934,                 0.7063,                0.88515,                0.75129,                0.92765,               0.001406,               0.001406,               0.001406
                      5,                 0.9571,                0.86532,                0.97583,                0.79618,                0.93388,                0.92151,                 0.6845,                0.88503,                 1.3567,                0.91186,               0.001208,               0.001208,               0.001208
                      6,                0.91189,                0.80591,                0.93955,                0.92028,                0.95404,                 0.9478,                0.74383,                0.79008,                0.63762,                0.89736,                0.00101,                0.00101,                0.00101
                      7,                0.86281,                0.75363,                0.92858,                 0.9353,                0.95572,                0.96044,                0.77537,                0.73766,                0.59352,                0.87622,               0.000812,               0.000812,               0.000812
                      8,                0.84369,                0.72474,                0.93903,                0.94888,                0.95041,                0.96901,                0.80077,                0.71184,                0.55784,                0.86762,               0.000614,               0.000614,               0.000614
                      9,                 0.7888,                0.67921,                0.90483,                0.93612,                0.94215,                0.95808,                0.80812,                0.65733,                0.53236,                0.85796,               0.000416,               0.000416,               0.000416
                     10,                0.73268,                0.63086,                0.90727,                0.95723,                0.95868,                0.97079,                0.82771,                 0.6127,                0.50827,                0.84892,               0.000218,               0.000218,               0.000218
