                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.446,                 4.2687,                 1.1794,                0.00296,                0.88889,                0.00955,                0.00432,                 1.2723,                 3.7152,                 1.0986,             0.00064815,             0.00064815,             0.00064815
                      2,                 1.3467,                 2.7416,                 1.1393,                0.72874,                 0.2986,                0.70404,                0.41064,                 1.2732,                 3.0221,                   1.13,              0.0011846,              0.0011846,              0.0011846
                      3,                 1.2735,                  2.341,                 1.1246,                 0.7623,                0.66183,                0.70938,                0.40118,                 1.2981,                 2.4693,                 1.0858,              0.0015891,              0.0015891,              0.0015891
                      4,                 1.1386,                 1.8676,                 1.0554,                0.83412,                 0.7982,                0.84345,                0.50047,                 1.2313,                 1.5488,                 1.0914,               0.001406,               0.001406,               0.001406
                      5,                 1.1364,                 1.5853,                 1.0438,                0.93427,                0.92063,                 0.9391,                0.67097,                 1.0068,                 1.0589,                 1.0042,               0.001208,               0.001208,               0.001208
                      6,                 1.0156,                 1.3735,                0.98537,                0.89519,                0.95238,                0.96054,                0.66627,                0.95502,                 1.1784,                0.96109,                0.00101,                0.00101,                0.00101
                      7,                 1.0015,                 1.2896,                0.98868,                0.91576,                0.86282,                0.94724,                0.67258,                0.89515,                0.93324,                0.96909,               0.000812,               0.000812,               0.000812
                      8,                0.90334,                 1.1141,                0.96624,                0.87908,                0.95238,                0.95198,                0.72116,                0.82076,                 0.7926,                0.93831,               0.000614,               0.000614,               0.000614
                      9,                0.85422,                 1.0324,                0.95444,                0.96088,                0.96825,                0.95893,                0.71889,                0.78575,                 0.7532,                0.92631,               0.000416,               0.000416,               0.000416
                     10,                0.79948,                0.96717,                0.92157,                0.96565,                0.96825,                0.97225,                0.75985,                0.73904,                0.69334,                0.91442,               0.000218,               0.000218,               0.000218
