                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7028,                  3.957,                 1.5476,                0.00325,                0.97452,                0.18866,                0.06656,                 1.3719,                 3.7855,                 1.2821,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4767,                 2.4467,                 1.3258,                 0.7581,                0.52229,                0.66508,                 0.3702,                 1.4065,                 2.2706,                 1.2612,              0.0011918,              0.0011918,              0.0011918
                      3,                 1.4655,                 1.8334,                 1.3063,                0.73941,                0.77714,                0.83402,                0.44213,                 1.4709,                 1.3998,                 1.3401,              0.0015955,              0.0015955,              0.0015955
                      4,                 1.4014,                 1.5068,                 1.2689,                0.80298,                0.77878,                0.84448,                0.52299,                 1.2698,                 1.1621,                 1.1995,               0.001406,               0.001406,               0.001406
                      5,                 1.2983,                 1.2005,                 1.2096,                0.70273,                0.85826,                0.82467,                0.52573,                 1.3105,                 1.0833,                 1.2618,               0.001208,               0.001208,               0.001208
                      6,                 1.2225,                 1.0223,                  1.179,                 0.9349,                0.94268,                0.94158,                0.66302,                 1.0863,                0.77325,                 1.1142,                0.00101,                0.00101,                0.00101
                      7,                 1.1174,                0.91159,                 1.1273,                 0.9439,                0.96443,                0.96597,                0.69017,                 1.0244,                0.66744,                 1.0528,               0.000812,               0.000812,               0.000812
                      8,                 1.1058,                0.82651,                 1.1291,                0.93277,                0.95541,                0.94925,                0.68212,                0.98556,                0.63119,                 1.0613,               0.000614,               0.000614,               0.000614
                      9,                 1.0277,                0.75111,                 1.0718,                0.96192,                0.96537,                0.96313,                0.72511,                0.89397,                0.58135,                  1.018,               0.000416,               0.000416,               0.000416
                     10,                0.95007,                0.70447,                 1.0595,                 0.9494,                0.96178,                0.96004,                0.74925,                0.83972,                0.55064,                0.99579,               0.000218,               0.000218,               0.000218
