                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0044,                 4.5321,                 1.6433,                0.00291,                0.87179,                0.00998,                 0.0043,                 1.5462,                 3.9429,                  1.293,                0.00042,                0.00042,                0.00042
                      2,                 1.6946,                 2.6393,                 1.4012,                0.00299,                0.89744,                0.00724,                0.00279,                  1.474,                 3.8384,                 1.2335,             0.00077486,             0.00077486,             0.00077486
                      3,                 1.6962,                 2.4317,                  1.444,                0.00308,                0.92308,                0.06205,                0.02515,                 1.5618,                 3.5205,                 1.3274,              0.0010426,              0.0010426,              0.0010426
                      4,                  1.568,                 2.0289,                 1.4219,                      1,                0.36875,                0.83061,                0.41763,                 1.7991,                 2.3297,                 1.6358,              0.0012232,              0.0012232,              0.0012232
                      5,                   1.54,                 1.7558,                  1.366,                0.82492,                0.89744,                0.89259,                0.46005,                 1.6808,                 1.4154,                 1.4638,               0.001208,               0.001208,               0.001208
                      6,                   1.42,                 1.6331,                 1.3451,                  0.913,                0.80742,                0.88456,                0.47012,                 1.5644,                 1.1516,                 1.4433,                0.00101,                0.00101,                0.00101
                      7,                 1.3786,                 1.4736,                 1.2923,                0.83999,                0.82051,                0.86795,                0.50205,                 1.5661,                 1.0506,                 1.4284,               0.000812,               0.000812,               0.000812
                      8,                 1.3883,                 1.4118,                 1.3135,                0.90462,                0.84615,                0.87056,                0.48785,                 1.6174,                 1.0316,                 1.4838,               0.000614,               0.000614,               0.000614
                      9,                 1.3377,                 1.3073,                 1.2984,                0.89644,                0.88794,                0.90448,                0.53332,                 1.4926,                0.92556,                 1.3898,               0.000416,               0.000416,               0.000416
                     10,                 1.2669,                 1.2558,                 1.2505,                0.85009,                0.92308,                0.91824,                0.56265,                 1.4136,                0.89661,                 1.3644,               0.000218,               0.000218,               0.000218
